Original,Obfuscated
McAfeeSite,O_1E1BDBB1
McAfeeSiteListCommand,O_698CF7A5
McAfeeSiteListDTO,O_A9599790
McAfeeSiteListFormatter,O_762C0948
MicrosoftUpdateCommand,O_3FB96BCD
MicrosoftUpdateDTO,O_2C0A69AB
MicrosoftUpdateFormatter,O_0DE9EA5F
Module,O_F148224A
Mpr,O_CC45627B
MTPuTTYCommand,O_CF73C2A8
MTPuTTYDTO,O_ED370A94
MTPuTTYFormatter,O_B1892356
NamedPipesCommand,O_3AE22304
NamedPipesDTO,O_4C1AA4E8
NamedPipesFormatter,O_931E7392
Netapi32,O_B81255AD
NetworkProfilesCommand,O_CCA7CE9B
NetworkProfilesDTO,O_7124901A
NetworkShareDTO,O_B872878D
NetworkSharesCommand,O_B17863BB
NtlmHashDTO,O_C30E6D93
NtlmSettingsCommand,O_B25CFBD2
NtlmSettingsDTO,O_9035B3A6
NtlmSettingsTextFormatter,O_0AB80752
OfficeMRU,O_9A96A87B
OfficeMRUsCommand,O_2CF25CF2
OfficeMRUsCommandFormatter,O_CC2AAB58
OfficeRecentFilesDTO,O_82A76845
OneDriveSyncProvider,O_DD3D4417
OneNoteCommand,O_7D249D08
OneNoteDTO,O_F4467FE4
OneNoteFormatter,O_4C383933
OptionalFeaturesCommand,O_85E28F15
OptionalFeaturesCommandDTO,O_ABB262A2
OptionalFeatureTextFormatter,O_2BCE3EFD
OracleConnectionsDTO,O_0FDEAD5C
OracleSQLDeveloperCommand,O_370811FA
OSInfoCommand,O_4A153DF2
OSInfoDTO,O_4D9BF75E
OsInfoTextFormatter,O_861E766A
OutlookDownload,O_E018A322
OutlookDownloadsCommand,O_31978EBC
OutlookDownloadsDTO,O_CA34B509
OutlookDownloadsFormatter,O_27B7AAE4
PluginAccess,O_9E24156B
PoweredOnEventsCommand,O_320E2CBC
PoweredOnEventsDTO,O_170053FD
PoweredOnEventsTextFormatter,O_063D37B2
PowerShellCommand,O_3193AA58
PowerShellDTO,O_83287682
PowerShellEventsCommand,O_1206113B
PowerShellEventsDTO,O_3AAD1509
PowerShellHistoryCommand,O_4BF931DF
PowerShellHistoryDTO,O_87DB36ED
PowerShellTextFormatter,O_4E430AC8
PrintersCommand,O_41DEEC1B
ProcessCreationEventDTO,O_AADB0A75
ProcessCreationEventsCommand,O_701AAFFB
ProcessCreationEventTextFormatter,O_26BD6418
ProcessesCommand,O_3B68F2AE
ProcessesDTO,O_5129D851
ProcessesOwnerCommand,O_A27FE08D
ProcessesOwnerDTO,O_102C866E
ProcessFormatter,O_3839AA47
ProcessOwnerFormatter,O_333261FE
Program,O_90920D93
PSSessionSettingsCommand,O_3F7D0F09
PSSessionSettingsDTO,O_C494E4E9
PSSessionSettingsFormatter,O_9DE5870F
PuttyHostKeysCommand,O_B7C59DF4
PuttyHostKeysDTO,O_FBA13A79
PuttyHostKeysFormatter,O_94412494
PuttySessionsCommand,O_B2CD92E7
PuttySessionsDTO,O_3C8B5AC7
RDPClientSettings,O_3F770CB1
RDPConnection,O_F2734054
RDPSavedConnectionCommand,O_959E44A9
RDPSavedConnectionCommandFormatter,O_C9E71A77
RDPSavedConnectionDTO,O_98DD29C3
RDPServerSettings,O_B029DD04
RDPSessionsCommand,O_F8681E61
RDPSessionsDTO,O_978EAB6D
RdpSessionsTextFormatter,O_5566E7D8
RDPSettings,O_5ED8A1C3
RDPSettingsDTO,O_28B2DDC6
RDPSettingsFormatter,O_A4C68D9D
RecycleBinCommand,O_84323D86
RecycleBinDTO,O_BBAEDF59
RegistryKeyValue,O_D9B753E7
RegistryValueCommand,O_E0886B7B
RegistryValueDTO,O_13C2B2E0
RegistryValueTextFormatter,O_114F1B65
RemoteDesktopConnectionManagerCommand,O_A17ACE06
RemoteDesktopConnectionManagerDTO,O_AA34FF77
RemoteDesktopConnectionManagerFormatter,O_67AE8ADC
RPCMappedEndpointsCommand,O_E15B54D1
RPCMappedEndpointsDTO,O_E5AEFE7F
RPCMappedEndpointsTextFormatter,O_90A98118
Rpcrt4,O_F8D7398B
SafeRpcBindingHandle,O_A6C1BE4C
SafeRpcInquiryHandle,O_086FA7B0
SafeRpcStringHandle,O_60ABF106
SccmClientCommand,O_E09DCE35
SccmClientDTO,O_7B44E23F
ScheduledTaskAction,O_C2B9DBD9
ScheduledTaskPrincipal,O_A664A7BA
ScheduledTasksCommand,O_2EAD8157
ScheduledTasksDTO,O_572A3E52
ScheduledTasksFormatter,O_F61582AC
ScheduledTaskTrigger,O_B4B33E7C
SearchIndexCommand,O_43FBE431
Seatbelt,O_F41F88FA
SeatbeltArgumentParser,O_5579F5CE
SeatbeltOptions,O_F2A11310
SecurityPackagesCommand,O_C26B49D9
SecurityPackagesCredentialsCommand,O_C039B850
SecurityPackagesDTO,O_DED810D6
ServicesCommand,O_830D0A12
ServicesDTO,O_4DE83E42
Shlwapi,O_210F4320
SlackDownloadsCommand,O_1E94569D
SlackDownloadsDTO,O_F5497623
SlackDownloadsFormatter,O_A017355C
SlackPresenceCommand,O_F5CF150E
SlackPresenceDTO,O_80011568
SlackPresenceFormatter,O_90BE8F53
SlackWorkspacesCommand,O_D27C95D8
SlackWorkspacesDTO,O_6CEC576A
SlackWorkspacesFormatter,O_8BA700A3
SuperPuttyCommand,O_920EA79A
SuperPuttyConfig,O_39A73883
SuperPuttyDTO,O_0DB98354
SuperPuttyFormatter,O_74C5E462
SysmonCommand,O_F3334EF9
SysmonDTO,O_B59DFEF1
SysmonEventCommand,O_8DD4BBE5
SysmonEventDTO,O_A5BD4B1E
SysmonTextFormatter,O_EF343435
TcpConnectionsCommand,O_DE728638
TcpConnectionsDTO,O_E0AA4B35
TcpConnectionsTextFormatter,O_511D6CA0
TextOutputSink,O_E6752F82
TokenGroupCommand,O_7C324DFB
TokenGroupsDTO,O_64D6C700
TokenGroupsTextFormatter,O_744A5642
TokenPrivilegesCommand,O_3689D5C3
TokenPrivilegesDTO,O_66C1A868
TokenPrivilegesTextFormatter,O_7424B4F4
TypedUrl,O_39FC6857
